Week,Game,Kickoff,Recommendation,Confidence,Score,Edge %,Spread,Total,Home Imp,Away Imp,EPA Edge,Form Δ,Pace,TZ Diff,Div,Model %,Market %,ML Home %,MC Home %,MC Over %,Roof,Weather,Signals
1,Arizona Cardinals @ Los Angeles Chargers,2026-09-13 16:25 ET,Home ATS,A,11.1,-6.9,-9.3,47.2,28.3,18.9,+0.000,+0.0,63.2,1h,No,73.1%,80.0%,64.2%,82.0%,41.6%,Outdoors,73°F / 6 mph / 0%,Large spread -9.3 • High Home Imp 28.3 • Away success -0.069 • Away explosive -0.037
1,Cleveland Browns @ Jacksonville Jaguars,2026-09-13 13:00 ET,Home ATS,A,10.57,-5.6,-8.7,40.1,24.4,15.7,+0.000,+0.0,61.6,0,No,72.1%,77.7%,64.3%,79.9%,62.7%,Outdoors,92°F / 10 mph / 36%,Large spread -8.7 • Low Away Imp 15.7 • Home success +0.116 • Home explosive +0.055
1,New Orleans Saints @ Detroit Lions,2026-09-13 13:00 ET,Home ATS,A,8.74,-5.0,-6.9,49.8,28.4,21.4,+0.000,+0.0,62.2,1h,No,68.2%,73.2%,60.3%,76.1%,33.4%,Dome,Dome,High total 49.8 • High Home Imp 28.4 • Home explosive +0.074
1,Washington Commanders @ Philadelphia Eagles,2026-09-13 16:25 ET,Home ATS,A,7.81,-2.7,-5.4,44.3,24.9,19.4,+0.000,+0.0,58.4,0,Yes,65.3%,68.0%,58.9%,71.7%,46.0%,Outdoors,78°F / 5 mph / 10%,Divisional • Away success -0.080 • Away explosive -0.059
1,Miami Dolphins @ Las Vegas Raiders,2026-09-13 16:25 ET,Home ATS,B,7.67,-0.2,-3.0,40.2,21.6,18.6,+0.000,+0.0,55.4,3h,No,60.2%,60.3%,55.9%,64.4%,53.6%,Dome,Dome,Slow pace -5.3 • Away TZ -3h East • Away success -0.079 • Away explosive -0.062
1,Tampa Bay Buccaneers @ Cincinnati Bengals,2026-09-13 13:00 ET,Home ATS,B,7.2,-3.0,-3.7,50.4,27.1,23.4,+0.000,+0.0,62.2,0,No,61.3%,64.4%,55.3%,67.4%,31.6%,Outdoors,88°F / 5 mph / 7%,High total 50.4 • Home success +0.061 • Over-prone teams (58%)
1,Dallas Cowboys @ New York Giants,2026-09-13 20:20 ET,Under,B,6.72,+8.6,+2.9,48.1,22.6,25.5,+0.000,+0.0,64.2,1h,Yes,45.5%,40.8%,47.4%,43.6%,41.4%,Outdoors,78°F / 5 mph / 2%,Home underdog • Divisional • Away success -0.065 • Over-prone teams (60%)
1,Denver Broncos @ Kansas City Chiefs,2026-09-14 20:15 ET,Home ATS,C,5.98,+0.8,-2.4,43.5,23.0,20.5,+0.000,+0.0,62.5,1h,Yes,57.7%,56.9%,54.5%,60.9%,44.2%,Outdoors,88°F / 18 mph / 26%,Wind 18 mph • Divisional • Home success +0.075
1,Green Bay Packers @ Minnesota Vikings,2026-09-13 16:25 ET,Under,B,5.46,+10.3,-1.4,46.2,23.8,22.4,+0.000,+0.0,57.3,0,Yes,55.2%,53.0%,52.5%,58.0%,39.7%,Dome,Dome,Divisional • Away success -0.083 • Away explosive -0.051
1,Baltimore Ravens @ Indianapolis Colts,2026-09-13 13:00 ET,Under,B,4.94,+14.5,+3.3,47.8,22.2,25.6,+0.000,+0.0,57.9,0,No,44.7%,38.6%,47.1%,42.2%,35.4%,Dome,Dome,Home underdog • Over-prone teams (63%)
1,Atlanta Falcons @ Pittsburgh Steelers,2026-09-13 13:00 ET,Home ATS,C,4.41,-3.1,-4.8,41.5,23.2,18.3,+0.000,+0.0,59.1,0,No,63.8%,67.0%,58.5%,69.2%,55.0%,Outdoors,82°F / 7 mph / 10%,—
1,Chicago Bears @ Carolina Panthers,2026-09-13 13:00 ET,Under,C,3.62,+8.1,+3.0,47.0,22.0,25.0,+0.000,+0.0,62.4,1h,No,45.2%,39.8%,47.6%,42.9%,41.9%,Outdoors,90°F / 3 mph / 12%,Home underdog
1,New York Jets @ Tennessee Titans,2026-09-13 13:00 ET,Over,C,3.57,+10.0,-0.9,38.5,19.7,18.8,+0.000,+0.0,58.9,1h,No,54.8%,53.0%,53.0%,56.6%,60.0%,Outdoors,96°F / 2 mph / 1%,Hot 96°F • Low total vs over teams
1,Buffalo Bills @ Houston Texans,2026-09-13 13:00 ET,No strong lean,F,2.15,+1.9,+1.3,44.8,21.8,23.1,+0.000,+0.0,63.7,1h,No,49.1%,47.2%,49.4%,48.8%,50.0%,Dome,Dome,Away success -0.129 • Away explosive -0.046
1,New England Patriots @ Seattle Seahawks,2026-09-09 20:20 ET,No strong lean,F,1.27,—,-3.5,45.0,22.5,22.5,-0.001,+0.9,59.7,3h,No,52.4%,—,50.0%,54.8%,45.3%,Outdoors,62°F / 2 mph / 2%,Away TZ -3h East
1,San Francisco 49ers @ Los Angeles Rams,2026-09-10 20:35 ET,No strong lean,F,0.55,—,-3.5,45.0,22.5,22.5,-0.001,-5.7,62.6,0,Yes,50.7%,—,50.0%,51.4%,48.3%,Outdoors,79°F / 4 mph / 1%,Divisional
