id,logged_at,week,game,home,away,kickoff,recommendation,confidence,score,spread,total,result,correct,graded_at
1467c185,2026-09-13 11:00,1,Arizona Cardinals @ Los Angeles Chargers,LAC,ARI,2026-09-13 16:25 ET,Home ATS,A,11.1,-9.3,47.2,Pending,,
63084310,2026-09-13 11:00,1,Cleveland Browns @ Jacksonville Jaguars,JAX,CLE,2026-09-13 13:00 ET,Home ATS,A,10.57,-8.7,40.1,Pending,,
d8ad4ee6,2026-09-13 11:00,1,New Orleans Saints @ Detroit Lions,DET,NO,2026-09-13 13:00 ET,Home ATS,A,8.74,-6.9,49.8,Pending,,
f75e9fef,2026-09-13 11:00,1,Washington Commanders @ Philadelphia Eagles,PHI,WAS,2026-09-13 16:25 ET,Home ATS,A,7.81,-5.4,44.3,Pending,,
0e84a3a3,2026-09-13 11:00,1,Miami Dolphins @ Las Vegas Raiders,LV,MIA,2026-09-13 16:25 ET,Home ATS,B,7.67,-3.0,40.2,Pending,,
3e4a07b2,2026-09-13 11:00,1,Tampa Bay Buccaneers @ Cincinnati Bengals,CIN,TB,2026-09-13 13:00 ET,Home ATS,B,7.2,-3.7,50.4,Pending,,
fe15024a,2026-09-13 11:00,1,Dallas Cowboys @ New York Giants,NYG,DAL,2026-09-13 20:20 ET,Under,B,6.72,+2.9,48.1,Pending,,
3bea369d,2026-09-14 11:00,1,Denver Broncos @ Kansas City Chiefs,KC,DEN,2026-09-14 20:15 ET,Home ATS,C,5.98,-2.4,43.5,Pending,,
4232c025,2026-09-13 11:00,1,Green Bay Packers @ Minnesota Vikings,MIN,GB,2026-09-13 16:25 ET,Under,B,5.46,-1.4,46.2,Pending,,
53852f2c,2026-09-13 11:00,1,Baltimore Ravens @ Indianapolis Colts,IND,BAL,2026-09-13 13:00 ET,Under,B,4.94,+3.3,47.8,Pending,,
dd0a45e4,2026-09-13 11:00,1,Atlanta Falcons @ Pittsburgh Steelers,PIT,ATL,2026-09-13 13:00 ET,Home ATS,C,4.41,-4.8,41.5,Pending,,
768ca10e,2026-09-13 11:00,1,Chicago Bears @ Carolina Panthers,CAR,CHI,2026-09-13 13:00 ET,Under,C,3.62,+3.0,47.0,Pending,,
72795898,2026-09-13 11:00,1,New York Jets @ Tennessee Titans,TEN,NYJ,2026-09-13 13:00 ET,Over,C,3.57,-0.9,38.5,Pending,,
a05917cd,2026-09-13 11:00,1,Buffalo Bills @ Houston Texans,HOU,BUF,2026-09-13 13:00 ET,No strong lean,F,2.15,+1.3,44.8,Pending,,
74c0b343,2026-09-09 11:00,1,New England Patriots @ Seattle Seahawks,SEA,NE,2026-09-09 20:20 ET,No strong lean,F,1.27,-3.5,45.0,Pending,,
bddf6b87,2026-09-10 11:00,1,San Francisco 49ers @ Los Angeles Rams,LAR,SF,2026-09-10 20:35 ET,No strong lean,F,0.55,-3.5,45.0,Pending,,
